date,open,high,low,close,volume
2021-04-12 13:00:00,242.49,242.51,242.24,242.39,77304.0
2021-04-12 12:59:00,242.5921,242.73,242.47,242.5,95464.0
2021-04-12 12:58:00,242.38,242.65,242.34,242.61,67514.0
2021-04-12 12:57:00,242.4186,242.53,242.345,242.38,66450.0
2021-04-12 12:56:00,242.3,242.5,242.19,242.4168,82758.0
2021-04-12 12:55:00,242.49,242.5785,242.29,242.3199,78420.0
2021-04-12 12:54:00,242.29,242.57,242.2779,242.5054,68164.0
2021-04-12 12:53:00,242.3401,242.45,242.29,242.29,200658.0
2021-04-12 12:52:00,242.628,242.6593,242.3201,242.35,99225.0
2021-04-12 12:51:00,242.6984,242.76,242.5861,242.6399,80137.0
2021-04-12 12:50:00,242.61,242.77,242.59,242.72,51434.0
2021-04-12 12:49:00,242.77,242.86,242.56,242.6399,61436.0
2021-04-12 12:48:00,242.7477,242.955,242.74,242.77,45384.0
2021-04-12 12:47:00,242.84,242.87,242.6,242.76,79674.0
2021-04-12 12:46:00,242.99,242.99,242.68,242.8328,101262.0
2021-04-12 12:45:00,243.1695,243.35,242.99,242.99,86959.0
2021-04-12 12:44:00,243.31,243.31,243.11,243.1508,35223.0
2021-04-12 12:43:00,243.2412,243.36,243.1601,243.27,57017.0
2021-04-12 12:42:00,243.42,243.42,243.16,243.22,129801.0
2021-04-12 12:41:00,243.0792,243.49,243.0783,243.44,95338.0
2021-04-12 12:40:00,243.035,243.095,242.87,243.075,78936.0
2021-04-12 12:39:00,242.9535,243.14,242.8,243.0338,95088.0
2021-04-12 12:38:00,242.93,243.09,242.8801,242.94,73897.0
2021-04-12 12:37:00,243.17,243.1809,242.88,242.9544,157343.0
2021-04-12 12:36:00,243.315,243.38,243.15,243.1763,71565.0
2021-04-12 12:35:00,243.3715,243.46,243.25,243.32,77770.0
2021-04-12 12:34:00,243.55,243.5899,243.28,243.36,73723.0
2021-04-12 12:33:00,243.76,243.79,243.42,243.5505,75733.0
2021-04-12 12:32:00,243.61,243.83,243.6,243.745,89895.0
2021-04-12 12:31:00,243.85,243.93,243.59,243.61,83509.0
2021-04-12 12:30:00,243.98,244.18,243.85,243.85,68054.0
2021-04-12 12:29:00,243.885,244.03,243.745,244.0,66296.0
2021-04-12 12:28:00,244.06,244.18,243.86,243.885,61646.0
2021-04-12 12:27:00,244.24,244.39,244.0,244.085,55490.0
2021-04-12 12:26:00,244.2,244.3,243.92,244.255,74529.0
2021-04-12 12:25:00,244.38,244.38,244.14,244.17,61471.0
2021-04-12 12:24:00,244.52,244.6991,244.27,244.345,64358.0
2021-04-12 12:23:00,244.69,244.7,244.3592,244.54,101192.0
2021-04-12 12:22:00,244.49,244.79,244.43,244.67,229214.0
2021-04-12 12:21:00,244.295,244.49,244.28,244.49,73101.0
2021-04-12 12:20:00,244.1399,244.3,244.0,244.3,166458.0
2021-04-12 12:19:00,244.655,244.73,243.88,244.12,259627.0
2021-04-12 12:18:00,244.525,244.665,244.2901,244.65,139204.0
2021-04-12 12:17:00,244.37,244.65,244.37,244.52,161276.0
2021-04-12 12:16:00,244.29,244.4,244.16,244.365,108911.0
2021-04-12 12:15:00,244.04,244.3,244.04,244.2201,112948.0
2021-04-12 12:14:00,244.05,244.06,243.83,244.0399,88821.0
2021-04-12 12:13:00,243.535,244.1,243.535,244.07,105105.0
2021-04-12 12:12:00,243.42,243.63,243.3272,243.5599,82434.0
2021-04-12 12:11:00,243.345,243.59,243.28,243.38,77635.0
2021-04-12 12:10:00,243.67,243.69,243.21,243.3169,224069.0
2021-04-12 12:09:00,243.9233,244.08,243.6599,243.6762,181743.0
2021-04-12 12:08:00,244.11,244.14,243.85,243.96,93009.0
2021-04-12 12:07:00,243.97,244.13,243.89,244.11,87572.0
2021-04-12 12:06:00,244.1659,244.26,243.85,243.95,118452.0
2021-04-12 12:05:00,244.0599,244.2,244.04,244.16,189725.0
2021-04-12 12:04:00,244.455,244.4568,243.9,244.05,209682.0
2021-04-12 12:03:00,244.313,244.48,244.27,244.4699,184892.0
2021-04-12 12:02:00,244.33,244.39,244.21,244.3394,114215.0
2021-04-12 12:01:00,244.1129,244.34,244.07,244.3384,183425.0
2021-04-12 12:00:00,244.14,244.3,244.03,244.11,191197.0
2021-04-12 11:59:00,243.865,244.2,243.85,244.14,240255.0
2021-04-12 11:58:00,243.62,243.86,243.62,243.86,107122.0
2021-04-12 11:57:00,243.81,243.9,243.58,243.61,111777.0
2021-04-12 11:56:00,243.93,243.95,243.4401,243.81,154431.0
2021-04-12 11:55:00,243.65,243.95,243.5,243.94,143071.0
2021-04-12 11:54:00,243.66,243.73,243.32,243.68,137571.0
2021-04-12 11:53:00,243.67,243.86,243.52,243.625,129473.0
2021-04-12 11:52:00,243.835,243.97,243.5,243.66,165799.0
2021-04-12 11:51:00,243.7,244.1,243.66,243.835,207788.0
2021-04-12 11:50:00,243.55,243.859,243.53,243.7316,123122.0
2021-04-12 11:49:00,243.43,243.65,243.43,243.56,194637.0
2021-04-12 11:48:00,243.33,243.45,243.13,243.42,101149.0
2021-04-12 11:47:00,243.415,243.46,243.1842,243.3399,129929.0
2021-04-12 11:46:00,243.1845,243.4246,243.0402,243.4246,134655.0
2021-04-12 11:45:00,242.9,243.2953,242.84,243.18,270016.0
2021-04-12 11:44:00,242.77,242.98,242.72,242.875,138386.0
2021-04-12 11:43:00,242.61,242.78,242.5901,242.78,126398.0
2021-04-12 11:42:00,242.61,242.74,242.39,242.59,152560.0
2021-04-12 11:41:00,242.38,242.6,242.31,242.6,104144.0
2021-04-12 11:40:00,242.43,242.6291,242.3,242.37,154958.0
2021-04-12 11:39:00,242.22,242.44,242.13,242.4399,115941.0
2021-04-12 11:38:00,241.73,242.27,241.73,242.22,245337.0
2021-04-12 11:37:00,241.64,241.7399,241.6,241.7399,88184.0
2021-04-12 11:36:00,241.7,241.79,241.6,241.6632,83059.0
2021-04-12 11:35:00,241.78,241.83,241.67,241.694,76207.0
2021-04-12 11:34:00,241.86,241.8759,241.7,241.75,87528.0
2021-04-12 11:33:00,241.654,241.92,241.65,241.86,108385.0
2021-04-12 11:32:00,241.57,241.74,241.5,241.654,101000.0
2021-04-12 11:31:00,241.714,241.715,241.5,241.565,74234.0
2021-04-12 11:30:00,241.6499,241.89,241.5901,241.73,107299.0
2021-04-12 11:29:00,241.4,241.64,241.25,241.62,132965.0
2021-04-12 11:28:00,241.22,241.63,241.1,241.39,108972.0
2021-04-12 11:27:00,241.27,241.43,241.19,241.23,50199.0
2021-04-12 11:26:00,241.42,241.56,241.11,241.25,99353.0
2021-04-12 11:25:00,241.3049,241.49,241.13,241.41,77686.0
2021-04-12 11:24:00,241.235,241.35,241.11,241.31,60264.0
2021-04-12 11:23:00,241.2275,241.4,241.04,241.24,60034.0
2021-04-12 11:22:00,241.19,241.39,241.1338,241.27,138377.0
2021-04-12 11:21:00,240.92,241.23,240.92,241.1901,120670.0
2021-04-12 11:20:00,241.11,241.2,240.89,240.89,87254.0
2021-04-12 11:19:00,240.9,241.16,240.7675,241.0825,97151.0
2021-04-12 11:18:00,241.08,241.22,240.89,240.925,76777.0
2021-04-12 11:17:00,240.91,241.25,240.8035,241.05,116099.0
2021-04-12 11:16:00,240.78,241.2,240.77,240.92,121712.0
2021-04-12 11:15:00,240.3501,240.88,240.3501,240.7548,147112.0
2021-04-12 11:14:00,240.21,240.4946,240.1,240.38,80876.0
2021-04-12 11:13:00,240.0587,240.23,240.0587,240.2157,73009.0
2021-04-12 11:12:00,239.8,240.23,239.8,240.0843,91697.0
2021-04-12 11:11:00,240.3,240.3399,239.731,239.8,136123.0
2021-04-12 11:10:00,240.45,240.49,240.23,240.297,48195.0
2021-04-12 11:09:00,240.72,240.84,240.44,240.4799,56036.0
2021-04-12 11:08:00,240.5801,240.92,240.56,240.7,70213.0
2021-04-12 11:07:00,240.605,240.715,240.32,240.59,63574.0
2021-04-12 11:06:00,240.885,241.1,240.5784,240.595,85337.0
2021-04-12 11:05:00,240.695,240.9,240.5891,240.8701,62820.0
2021-04-12 11:04:00,240.7826,240.819,240.585,240.695,54693.0
2021-04-12 11:03:00,240.8293,241.06,240.57,240.785,109327.0
2021-04-12 11:02:00,240.6397,240.87,240.56,240.83,72632.0
2021-04-12 11:01:00,240.15,240.75,240.055,240.625,92866.0
2021-04-12 11:00:00,240.42,240.4431,240.12,240.1335,76630.0
2021-04-12 10:59:00,240.95,241.06,240.42,240.42,87225.0
2021-04-12 10:58:00,240.91,241.15,240.82,240.99,98674.0
2021-04-12 10:57:00,240.83,241.05,240.77,240.87,66397.0
2021-04-12 10:56:00,240.57,240.9799,240.57,240.828,84540.0
