,date,Open,High,Low,Close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
214,2020-04-28,19.88,19.88,19.88,19.88,19.635665346099998,0.0,0.0,1.0
215,2020-04-27,20.24,20.24,20.24,20.24,19.9912407749,0.0,0.0,1.0
216,2020-04-24,20.13,20.13,20.13,20.13,19.8825927272,0.0,0.0,1.0
217,2020-04-23,19.79,19.79,19.79,19.79,19.546771488900003,0.0,0.0,1.0
218,2020-04-22,19.85,19.85,19.85,19.85,19.6060340603,0.0,0.0,1.0
219,2020-04-21,19.25,19.25,19.25,19.25,19.0134083457,0.0,0.0,1.0
220,2020-04-20,19.99,19.99,19.99,19.99,19.744313393800002,0.0,0.0,1.0
221,2020-04-17,20.24,20.24,20.24,20.24,19.9912407749,0.0,0.0,1.0
222,2020-04-16,20.07,20.07,20.07,20.07,19.8233301557,0.0,0.0,1.0
223,2020-04-15,19.69,19.69,19.69,19.69,19.448000536400002,0.0,0.0,1.0
224,2020-04-14,19.92,19.92,19.92,19.92,19.675173727,0.0,0.0,1.0
225,2020-04-13,19.09,19.09,19.09,19.09,18.8553748218,0.0,0.0,1.0
226,2020-04-09,18.88,18.88,18.88,18.88,18.6479558216,0.0,0.0,1.0
227,2020-04-08,18.86,18.86,18.86,18.86,18.628201631099998,0.0,0.0,1.0
228,2020-04-07,18.44,18.44,18.44,18.44,18.213363630899998,0.0,0.0,1.0
229,2020-04-06,18.52,18.52,18.52,18.52,18.2923803928,0.0,0.0,1.0
230,2020-04-03,17.25,17.25,17.25,17.25,17.0379892968,0.0,0.0,1.0
231,2020-04-02,17.5,17.5,17.5,17.5,17.2849166779,0.0,0.0,1.0
232,2020-04-01,17.15,17.15,17.15,17.15,16.939218344300002,0.0,0.0,1.0
233,2020-03-31,17.9,17.9,17.9,17.9,17.6800004877,0.0,0.0274,1.0
234,2020-03-30,18.1,18.1,18.1,18.1,17.8502185942,0.0,0.0,1.0
235,2020-03-27,17.41,17.41,17.41,17.41,17.1697406478,0.0,0.0,1.0
236,2020-03-26,18.12,18.12,18.12,18.12,17.8699425927,0.0,0.0,1.0
237,2020-03-25,17.14,17.14,17.14,17.14,16.9034666688,0.0,0.0,1.0
238,2020-03-24,17.33,17.33,17.33,17.33,17.0908446541,0.0,0.0,1.0
239,2020-03-23,16.07,16.07,16.07,16.07,15.848232751900001,0.0,0.0,1.0
240,2020-03-20,16.04,16.04,16.04,16.04,15.818646754200001,0.0,0.0,1.0
241,2020-03-19,16.71,16.71,16.71,16.71,16.4794007022,0.0,0.0,1.0
242,2020-03-18,16.44,16.44,16.44,16.44,16.2131267232,0.0,0.0,1.0
243,2020-03-17,17.14,17.14,17.14,17.14,16.9034666688,0.0,0.0,1.0
244,2020-03-16,16.09,16.09,16.09,16.09,15.8679567504,0.0,0.0,1.0
245,2020-03-13,18.32,18.32,18.32,18.32,18.0671825772,0.0,0.0,1.0
246,2020-03-12,16.62,16.62,16.62,16.62,16.3906427092,0.0,0.0,1.0
247,2020-03-11,18.32,18.32,18.32,18.32,18.0671825772,0.0,0.0,1.0
248,2020-03-10,19.15,19.15,19.15,19.15,18.8857285127,0.0,0.0,1.0
249,2020-03-09,18.19,18.19,18.19,18.19,17.9389765873,0.0,0.0,1.0
250,2020-03-06,19.52,19.52,19.52,19.52,19.250622484,0.0,0.0,1.0
251,2020-03-05,19.84,19.84,19.84,19.84,19.566206459100002,0.0,0.0,1.0
252,2020-03-04,20.47,20.47,20.47,20.47,20.1875124102,0.0,0.0,1.0
253,2020-03-03,19.66,19.66,19.66,19.66,19.3886904731,0.0,0.0,1.0
254,2020-03-02,20.31,20.31,20.31,20.31,20.0297204226,0.0,0.0,1.0
255,2020-02-28,19.36,19.36,19.36,19.36,19.0928304964,0.0,0.0,1.0
256,2020-02-27,19.3,19.3,19.3,19.3,19.0336585011,0.0,0.0,1.0
257,2020-02-26,20.3,20.3,20.3,20.3,20.0198584234,0.0,0.0,1.0
258,2020-02-25,20.21,20.21,20.21,20.21,19.9311004304,0.0,0.0,1.0
259,2020-02-24,20.77,20.77,20.77,20.77,20.4833723869,0.0,0.0,1.0
260,2020-02-21,21.61,21.61,21.61,21.61,21.3117803216,0.0,0.0,1.0
261,2020-02-20,22.03,22.03,22.03,22.03,21.725984289,0.0,0.0,1.0
262,2020-02-19,22.24,22.24,22.24,22.24,21.9330862727,0.0,0.0,1.0
263,2020-02-18,22.02,22.02,22.02,22.02,21.7161222898,0.0,0.0,1.0
264,2020-02-14,22.01,22.01,22.01,22.01,21.7062602906,0.0,0.0,1.0
265,2020-02-13,21.95,21.95,21.95,21.95,21.6470882952,0.0,0.0,1.0
266,2020-02-12,21.98,21.98,21.98,21.98,21.6766742929,0.0,0.0,1.0
267,2020-02-11,21.77,21.77,21.77,21.77,21.4695723092,0.0,0.0,1.0
268,2020-02-10,21.76,21.76,21.76,21.76,21.45971031,0.0,0.0,1.0
269,2020-02-07,21.5,21.5,21.5,21.5,21.2032983302,0.0,0.0,1.0
270,2020-02-06,21.6,21.6,21.6,21.6,21.3019183224,0.0,0.0,1.0
271,2020-02-05,21.41,21.41,21.41,21.41,21.1145403372,0.0,0.0,1.0
272,2020-02-04,21.34,21.34,21.34,21.34,21.0455063426,0.0,0.0,1.0
273,2020-02-03,20.86,20.86,20.86,20.86,20.5721303799,0.0,0.0,1.0
274,2020-01-31,20.55,20.55,20.55,20.55,20.266408404,0.0,0.0,1.0
275,2020-01-30,20.88,20.88,20.88,20.88,20.5918543783,0.0,0.0,1.0
276,2020-01-29,20.8,20.8,20.8,20.8,20.5129583846,0.0,0.0,1.0
277,2020-01-28,20.78,20.78,20.78,20.78,20.4932343861,0.0,0.0,1.0
278,2020-01-27,20.46,20.46,20.46,20.46,20.177650411,0.0,0.0,1.0
279,2020-01-24,20.9,20.9,20.9,20.9,20.6115783768,0.0,0.0,1.0
280,2020-01-23,21.07,21.07,21.07,21.07,20.7792323636,0.0,0.0,1.0
281,2020-01-22,21.0,21.0,21.0,21.0,20.710198369,0.0,0.0,1.0
282,2020-01-21,20.95,20.95,20.95,20.95,20.6608883729,0.0,0.0,1.0
283,2020-01-17,20.97,20.97,20.97,20.97,20.6806123713,0.0,0.0,1.0
284,2020-01-16,20.86,20.86,20.86,20.86,20.5721303799,0.0,0.0,1.0
285,2020-01-15,20.65,20.65,20.65,20.65,20.3650283962,0.0,0.0,1.0
286,2020-01-14,20.65,20.65,20.65,20.65,20.3650283962,0.0,0.0,1.0
287,2020-01-13,20.74,20.74,20.74,20.74,20.4537863892,0.0,0.0,1.0
